domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"The IPv6 Extension Headers are","Header chains that can be added... to move to the network layer some features...","Padding techniques...","Header chains that can be added... in order to offer additional features","Padding techniques...",C,"Gli Extension Headers (es. Hop-by-Hop, Routing, Fragment) aggiungono funzionalità opzionali all'header base IPv6."
"Indicate the false claim among the below statements about the Link State algorithm","The Link State algorithm converges faster than the Distance Vector algorithm","The RIP (Routing Information Protocol) protocol is based on the Link State algorithm","The Link State algorithm seldom generates loops","The Link State algorithm exchanges less information than the Distance Vector algorithm.",B,"Falso: RIP è un protocollo Distance Vector, non Link State."
"Le soluzioni di VPN (virtual private network) di livello 3 basate su MPLS sono caratterizzate da","Livelli particolarmente alti di sicurezza...","Buon livello di automatizzazione e integrazione tra la dorsale pubblica e le reti private","Meccanismi di tunneling di livello 3, ovvero all'interno di pacchetti IP.",N/A,B,"Le L3VPN MPLS (BGP/MPLS) offrono scalabilità e gestione semplificata per il provider (integrazione backbone)."
"Per realizzare una VPN usando MPLS, al livello 3 secondo il modello peer, è possibile:","Utilizzare una versione opportunamente modificata del BGP.","Utilizzare una versione opportunamente modificata del TCP.","Utilizzare una versione opportunamente modificata del RIP.","Utilizzare una versione opportunamente modificata del RTP.",A,"Si utilizza MP-BGP (Multi-Protocol BGP) per scambiare le rotte VPNv4."
"Il protocollo RSVP (Resource reSerVation Protocol) è in grado di:","Limitare le variazioni di ritardo (jitter)","Far conoscere ai router le richieste di qualità di servizio avanzate dalle applicazioni","Riservare risorse di calcolo","Verificare i ritardi e le perdite",B,"RSVP segnala i requisiti di QoS (banda, ritardo) dell'applicazione ai router lungo il percorso."
"vantaggio fibra ottica","switch ottici performanti e bassa complessità","maggiore velocità nelle trasmissioni sul canale",N/A,N/A,B,"La fibra ottica offre larghezza di banda e velocità di trasmissione enormemente superiori al rame."
"Gli indirizzi link-local","Sono validi all'interno di una organizzazione...","Non possono essere assegnati ai router.","Sono normalmente costruiti automaticamente dalla stazione a partire dall'indirizzo MAC...","Vengono utilizzati per identificare macchine che svolgono un certo servizio...",C,"L'indirizzo Link-Local IPv6 è auto-generato combinando il prefisso FE80:: con l'Interface ID derivato dal MAC (EUI-64)."
"La tecnica di forwarding ""Label Swapping"":","Non è adatta qualora si abbia la necessità di fornire garanzie di qualità del servizio...","Prevede che un pacchetto dati mantenga la stessa etichetta...","Richiede che tutti i nodi presenti sul percorso condividano esattamente la stessa tabella...","Può richiedere una fase di ""Path Setup"" per la determinazione del percorso",D,"MPLS richiede che il percorso (LSP) e le tabelle di scambio label siano stabilite prima dell'inoltro (tramite LDP o RSVP)."
"Due stazioni A e B appartengono alla stessa rete fisica... 130.192.1.1/25 e 130.192.1.129/24.","A comunica direttamente con B e viceversa","A comunica direttamente con B ma non viceversa","A comunica con B solo attraverso un router","A non può comunicare con B",C,"(Duplicata) Configurazione di sottorete asimmetrica che richiede routing per A."
"Un Autonomous System è:","Un calcolatore in grado di autoconfigurarsi","Una zona di una rete IP amministrata... autonomamente...","Un dispositivo di rete...","La rete di un ISP",B,"Un AS è un insieme di reti sotto un'unica amministrazione tecnica che ha una politica di routing coerente."
"Nel routing isolato:","Ogni router calcola... scambi con soli vicini...","Ogni router calcola... scambi con tutti...","Ogni router calcola, analizzando solamente il traffico che lo attraversa, la propria tabella di routing","Alcune porzioni della rete vengono isolate...",C,"Nel routing isolato (o backward learning) il router apprende la topologia osservando il traffico passante (es. MAC learning negli switch), senza protocolli di routing."
"Qual è un vantaggio di utilizzare un algoritmo di routing di tipo Link State rispetto ad uno di tipo Distance Vector?","La presenza del Link State Database elimina la necessità di avere una routing table...","Avendo a disposizione il Link State Database, ogni router è in grado di calcolare autonomamente i percorsi verso ogni destinazione","Una minore richiesta in termini di potenza elaborativa...","Minori errori di instradamento...",B,"Con il LSDB completo, ogni router calcola l'albero dei cammini minimi (SPF) in modo indipendente ed esatto."
"In un pacchetto che viaggia su un tunnel GRE quante intestazioni possono essere presenti?","Una sola...","Due intestazioni, ma quella interna può solo contenere indirizzi privati.","Due intestazioni, senza particolari limitazioni.","Due intestazioni, ma quella esterna può solo contenere indirizzi privati.",C,"GRE incapsula il pacchetto originale (Header 1) in un nuovo pacchetto IP (Header 2); entrambi possono essere pubblici o privati."
"Nell'algoritmo del secchiello a gettoni:","La capacità del secchiello è legata alla velocità media sul lungo periodo.","La capacità del secchiello è legata al massimo burst size.","La capacità del secchiello ha relazione diretta con la banda.","Serve per implementare il weighted fair queuing.",B,"La dimensione del secchiello (B) determina quanti dati possono essere inviati istantaneamente (burst) oltre la velocità media."
"Il protocollo RIP è caratterizzato da","L'uso dell'algoritmo di routing link state","La possibilità di essere utilizzato sia per il routing interdominio che per il routing intradominio","La capacità di operare su reti di larghe dimensioni...","Frequenti instabilità e facilità nel creare percorsi di inoltro circolari",D,"RIP soffre di convergenza lenta e count-to-infinity, causando loop temporanei."
"Gli LSP (label switched path) nell'architettura MPLS:","Rappresentano percorsi alternativi...","Vengono scambiati dai router...","Costituiscono il percorso più breve...","Vengono creati (set up) per il trasporto di pacchetti appartenenti ad una classe di equivalenza di inoltro (FEC)",D,"L'LSP è il percorso logico associato a una FEC."
"RIP is characterized by","The suitability to both interdomain and intradomain routing","The possibility to operate on large networks...","Frequent instability and inclination to create circular forwarding paths","The usage of a link state routing algorithm",C,"(Duplicata in inglese)."
"Il protocollo RIP 'e imbustato:","Direttamente in IP...","Direttamente in IP...","In UDP, per consentire la trasmissione in broadcast dei pacchetti","In UDP, per questioni principalmente legate alla maggiore semplicità di sviluppo del software",D,"RIP usa UDP (porta 520) per semplicità implementativa, a differenza di OSPF che gira direttamente su IP."
"Gli indirizzi IPv6 di tipo Site Local","Sono impostati automaticamente...","Vengono assegnati da un'autorità centrale...","Non esistono","Sono deprecati ma possono comunque essere utilizzati",D,"Deprecati (RFC 3879) ma esistenti."
"Nel protocollo LTE, un canale fisico è","Insieme di risorse riservate per una data comunicazione","connessione tra 2 core network di operatori diversi","cavo che trasporta dati verso la torre mobile","tunnel tra S-GW e P-GW",A,"Un canale fisico LTE è un insieme di elementi risorsa (tempo-frequenza) nella griglia OFDMA usati per trasportare dati o controllo."
"Le soluzioni di VPN (virtual private network) di livello 3 attraverso una dorsale MPLS sono caratterizzate da","Livelli particolarmente alti di sicurezza...","Buon livello di automatizzazione e integrazione tra la dorsale pubblica e le reti private.","Meccanismi di tunneling di livello 3...","Gestione diretta da parte dell'utente...",B,"(Duplicata della 177/69)."
"Two stations A and B are interconnected via an Ethernet switch S. The MAC address of the network card of S... is used as destination MAC...","Sent from B to A","Sent from To to a destination outside the network","Sent from A to S, for example for management or configuration purposes","Sent from A to B",C,"Il MAC dello switch è destinazione solo per traffico diretto allo switch stesso (management), non per traffico di transito tra host."
"Gli LSP (label switched path) nell'architettura MPLS","Sono ottenuti riservando risorse...","Costituiscono il percorso più breve...","Vengono creati (set up) dalle applicazioni...","Vengono creati dai nodi di rete che si accordano sulle etichette da utilizzare per i pacchetti appartenenti ad una FEC.",D,"I router (LSR) creano gli LSP scambiandosi label mapping per le FEC."
"Nel protocollo IPv6:","I protocolli di routing... non cambiano...","Il protocollo ARP viene inglobato in ICMPv6...","Esiste la possibilità, per una stazione su un segmento di rete, di autoconfigurarsi attraverso l'ascolto di messaggi di Router Advertisement.","Come IPv4, IPv6 non prevede meccanismi di riconfigurazione...",C,"SLAAC (Stateless Address Autoconfiguration) tramite RA è una delle feature chiave di IPv6."
"La tecnica di transizione IPv4-IPv6 denominata Address plus Port (A+P) prevede che:","non siano mai utilizzati indirizzi IPb4 di tipo privato su dispositivi utente","non sia possibile collegare alla rete delle stazioni IPv6","il NAT sia posizionato sul CPE dell'utente","il NAT sia posizionato sull'AFTR",C,"In A+P (o MAP-E/MAP-T), la CPE fa NAT usando un IP pubblico condiviso e un set di porte limitato pre-assegnato, evitando il NAT massivo dell'operatore (CGNAT)."
"In OSPF, un pacchetto di ""Database Description"":","Viene utilizzato da due router adiacenti per scambiarsi le rispettive copie del database OSPF","Viene utilizzato da due router adiacenti per scambiarsi le rispettive copie della routing table","Permette ad un router che ha rilevato una nuova adiacenza... di conoscere gli LSA a lui mancanti","Permette ad un router appena acceso di conoscere gli LSA a lui mancanti",C,"I pacchetti DBD scambiano i sommari degli LSA per identificare quali mancano e richiederli (con LSR)."
"Un frame IEEE 802.11 ha quattro indirizzi MAC di cui:","Uno è l'indirizzo MAC dello switch...","Uno è sempre un indirizzo broadcast","Nessuno è l'indirizzo MAC dell'Access Point","Uno è l'indirizzo MAC dell'Access Point",D,"Nei frame Wi-Fi (specialmente To/From DS), uno degli indirizzi è il BSSID, che corrisponde al MAC dell'Access Point."
"The application of Frequency Hopping (FH) in a GSM network results in","An increase of the maximum number of users...","A reduction of both the communication quality...","An increase of the communication quality, but with a reduction of the maximum number of users...","An increase of both the communication quality and the maximum number of users the cell can serve",C,"[Nota: Soluzione file è C, ma tecnicamente FH migliora la qualità riducendo interferenze (frequency diversity) permettendo un riuso più stretto, quindi potenzialmente più utenti. La risposta C suggerisce un trade-off qualità/quantità]."
"Un Neutral Access Point e una particolare rete in cui:","Tutti gli apparati sono collegati mediante l'utilizzo di un router centrale...","I vari AS si scambiano il traffico in modalità ""peering""...","Il collegamento tra gli apparati è realizzato a livello 2","Ogni router collegato vede a livello 3 tutti gli altri router...",C,"I NAP/IXP sono infrastrutture di switching Layer 2 (Ethernet) dove i router degli ISP si connettono."
"Nella soluzione DS-Lite per la transizione IPv4-IP6","La funzionalità di NAT è realizzata per tutti gli utenti su opportuni dispositivi dell'ISP","La funzionalità di NAT è realizzata sul CPE dell'utente","La funzionalità di NAT è realizzata sia sul CPE che sui dispositivi dell'ISP","Non è prevista la funzionalità di NAT",A,"Il CGNAT (Carrier Grade NAT) risiede nell'AFTR dell'ISP."
"In order to setup a label switched path (LSP)","MPLS routers on the path must perform a mapping operation","The same layer-two protocol must be deployed...","Final destinations... must support MPLS","MPLS routers on the path must deploy the same protocol for label distribution",A,"Ogni router deve mappare una FEC a una Label in ingresso e una in uscita (Label Mapping/Binding)."
"In una rete IPv4:","Una stazione è raggiunta da un pacchetto multicast... solo se iscritta...","Una stazione è raggiunta da un pacchetto multicast... anche se non è iscritta...","una stazione consegna sempre a livello applicazione...","una stazione non è in grado di comprendere un pacchetto IPv4 multicast.",B,"(Duplicata della 171) Senza filtri L2 (IGMP snooping), il multicast si comporta come broadcast a livello di link."
"La qualità del servizio può essere garantita sulle reti a pacchetto quando","I pacchetti siano trasportati da un'infrastruttura a commutazione di cella...","I nodi di rete mettano in atto opportuni meccanismi che regolano il servizio dei pacchetti (per esempio algoritmi di scheduling)","Le applicazioni siano in grado di codificare le informazioni...",N/A,B,"QoS richiede gestione attiva delle code (Traffic Shaping, Policing, Scheduling) nei router."
"vantaggio fibra ottica:","switch ottici performanti e bassa complessità","maggiore velocità nelle trasmissioni sul canale",N/A,N/A,A,"[Nota: Nel file originale le opzioni A e B erano scambiate o confuse. Soluzione A indica ""switch ottici"" come da contesto domanda precedente duplicata. Tuttavia tecnicamente il vantaggio principale è la velocità/banda]."
"Quali di queste tecnologie è più adatta a gestire percorsi multipli verso la stessa destinazione (""multipath"")?","Forwarding by network address","Label Swapping e Source Routing","Label Swapping","Source Routing",C,"MPLS (Label Swapping) facilita il Traffic Engineering e l'uso di percorsi espliciti multipli per la stessa destinazione."
"Lo standard IPsec viene utilizzato nelle VPN per","Verificare le informazioni di autenticazione...","Consentire l'invio di informazioni di autenticazione...","La realizzazione di tunnel attraverso una rete IP pubblica...","La creazione automatica di collegamenti cifrati...",C,"Definizione standard di VPN IPsec Site-to-Site o Remote Access."
"A university has to design the IP net for two labs: lab 1 (120 hosts) and lab2 (64). Which config is definetly WRONG?","labl: 192.168.0.0/24 - lab2: 192.168.1.0/24","labl: 192.168.0.0/24 -lab2: 192.168.1.0/25","lab1: 192.168.0.0/25-lab2: 192.168.0.128/26","lab1: 192.168.0.0/25 - lab2: 192.168.0.128/25",C,"La subnet /26 offre 62 indirizzi utili (64 totali - 2). Il Lab 2 richiede 64 host, quindi /26 è insufficiente."
"Nella fase finale di un algoritmo di routing di tipo Link State, ogni router:","Esegue l'algoritmo di Shortest Path First, utilizzando come input il Link State Database","Invia in flooding i propri Link State ai vicini","Invia in flooding tutti i Link State ai vicini","Esegue l'algoritmo DUAL...",A,"Una volta sincronizzato il LSDB, ogni router calcola localmente l'albero SPF (Dijkstra)."
"Utilizzando l'algoritmo del secchiello a gettoni... si riesce a controllare:","Che il tempo di attraversamento non superi rB secondi.","Il numero di pacchetti al secondo immessi non superi r, ed il massimo burst non superi B.","Il numero di pacchetti al secondo immessi non superi B, ed il massimo burst non superi r.","Il jitter non superi B/r.",B,"Controlla rate medio (r) e burst (B)."
"Un Neutral Access Point e una particolare rete in cui:","Più Autonomous System collegano, a livello 2...","Più Autonomous System collegano, a livello 3...","Un Autonomous System collega, a livello 2...","Un Autonomous System collega, a livello 3...",A,"(Duplicata della 203). IXP/NAP sono punti di interscambio L2 tra AS."
"Quale tra le seguenti definizioni è una novità dello standard UMTS?","Microdiversity","Network Slicing","Nessuna delle presenti definizioni","Macrodiversity",D,"Macrodiversity (Soft Handover) permette al terminale di essere connesso simultaneamente a più stazioni base, migliorando la qualità del segnale."
"Quale di queste tecniche non è una soluzione per la transizione IPv4-IPv6?","6over4","6to4","6mixt4","Teredo",C,"6mixt4 è un nome inventato."
"Un Network Provider considerato ""Tier-1"":","Dispone di una sola interconnessione...","è un Autonomous System collegato ad altri AS Tier-1 solamente con connessioni di tipo ""Peering""...","è un Autonomous System collegato ad altri AS Tier-1 prevalentemente con connessioni di tipo ""Peering""...","è un Autonomous System collegato ad altri AS Tier-1 prevalentemente con connessioni di tipo ""transit""...",B,"I Tier-1 sono le reti globali che raggiungono tutta Internet solo tramite peering gratuito, senza pagare transito a nessuno."
"The difference between link state and distance vector routing algorithms can be summarized as follows","Link state algorithms send local information only to neighboring nodes...","Link state algorithms send global information to all nodes...","Link state algorithms send local information to all nodes in the network; distance vector algorithms send global information only to neighboring nodes",N/A,C,"(Duplicata)."
"Gli indirizzi IPv6 Aggregatable Global Unicast sono:","Aggregabili solo in address range molto piccoli...","Univoci a livello globale, sostanzialmente equivalenti agli indirizzi pubblici IPv4","Utilizzabili solo su dispositivi appartenenti alla stessa rete locale","Utilizzabili a livello globale solo insieme ad opportune tecniche di NAT",B,"Sono gli indirizzi pubblici standard di IPv6."
"When an IP router with complete multicast service support receives a packet related to a given multicast group","Discards the packet...","Sends out a copy of the packets on all the ports.","Sends out a copy of the packet on all the ports except the one through which the packet received","Sends out a copy of the packet on all the ports useful to reach the destinations belonging to the multicast",D,"Il router inoltra il multicast solo sulle interfacce dove ci sono ricevitori interessati (IGMP) o altri router multicast (PIM)."
"SSL-based VPN (Virtual Private Network) solutions are widely deployed because","They do not have any problems when packets go through a NAT...","They are the only VPN solutions providing a robust packet encryption...","Allow packets to be encrypted and authenticated without the need of negotiating cryptographic keys.","Allow the layer 3 (network layer) header to be encrypted and authenticated.",A,"SSL/TLS (su TCP/443) passa attraverso i NAT e firewall standard senza problemi, a differenza di IPsec/ESP che richiede configurazioni speciali (NAT-T)."
"Gli indirizzi IPv6 di tipo Private","Sono definiti in modo tale da essere univoci con elevata probabilità, ma non possono comunque essere utilizzati a livello globale","Vengono usati solo per le comunicazioni on-link","Vengono usati solo sui router","Vengono utilizzati per collegare reti private attraverso una rete pubblica",A,"Si riferisce agli ULA (Unique Local Addresses), fc00::/7, che sono unici ma non ruotabili su Internet."
"When an IPv6 host needs to learn the MAC address associated to a given IPv6 address","It can send a specific ICMPv6 message in multicast over the network","It can send a specific ICMPv6 message in unicast over the network","It can send an ARP Request in broadcast over the network","It can send a specific ICMPv6 message in broadcast over the network",A,"Usa Neighbor Solicitation su multicast."
"Due reti IP 130.192.0.0/24 e 130.192.2.0/24 sono aggregabili in:","130.192.0.0/23","130.192.2.0/23","Non sono aggregabili","130.192.0.0/22",D,"(Duplicata). Aggregazione minima /22."
"Un Host A ha indirizzo 192.168.1.1/24 e un Host B 192.168.1.129/25.","Entrambi possono comunicare direttamente l'uno con l'altro.","A può comunicare direttamente con B ma non viceversa.","A ha bisogno di un router per comunicare con B","Non possono comunicare.",B,"(Duplicata). Comunicazione asimmetrica."
"Le soluzioni di VPN (virtual private network) basate su SSL (secure socket layer) consentono","Di distribuire in modo sicuro su diversi server applicazioni basate sul web","Di creare cluster di server privati","Ad un'azienda di rendere disponibili in modo sicuro ai propri dipendenti fuori sede specifiche applicazioni aziendali.","La realizzazione di un backbone...",C,"Accesso remoto granulare alle applicazioni."
"Il protocollo GRE serve per:","Incapsulare i pacchetti in altre intestazioni IP, in modo da poterle inviare su un tunnel.","Garantire la riservatezza delle comunicazioni.","Garantire l'autenticità dei pacchetti.","Riservare della banda per la comunicazione.",A,"Protocollo di tunneling non cifrato."
"In topology-based control-driven label binding:","Il traffico di applicazioni diverse...","Le tabelle di forwarding...","Un LSP viene creato a seguito dell'identificazione di un percorso verso una destinazione...","I router MPLS devono utilizzare il protocollo BGP",C,"Assegnazione label guidata dal routing (Topology Driven)."
"Un ""Internal Router"" OSPF in un'area mantiene nell'archivio di LSA:","La descrizione dettagliata della topologia di tutto il dominio OSPF","Solo ed esclusivamente una descrizione dettagliata della topologia dell'area di cui il router fa parte","La descrizione dettagliata della topologia dell'area di cui il router fa parte e i sommari di tutte le destinazioni presenti nel dominio di routing OSPF","La descrizione dettagliata... dell'area backbone...",C,"Conosce la topologia (LSA T1/T2) della sua area e le rotte inter-area (LSA T3) ricevute dagli ABR."
"Due stazioni A e B appartengono alla stessa rete fisica... 130.192.1.1/25 e 130.192.1.129/24","A comunica direttamente con B e viceversa","A comunica direttamente con B ma non viceversa","A comunica con B solo attraverso un router","A non può comunicare con B",C,"(Duplicata)."
"A differenza della versione 4 dell'IP, la versione 6:","Non ha intestazione di lunghezza variabile.","Non permette di scoprire l'indirizzo MAC...","Non ha un equivalente del TTL (time-to-live).","Non permette l'uso di IPsec.",A,"Header fisso a 40 byte."
"When the link between two MPLS routers deploys a layer 2 protocol that supports virtual connections (such as ATM and Frame Relay)","Routing protocols specified for the given layer 2 protocol must be deployed...","Labels can be bound only to FECs that include layer 2 destination identifiers...","It is not possible to use more than one label for each packet.","The most external MPLS label is carried inside the layer 2 header.",D,"In MPLS su ATM/FR, la label MPLS viene mappata nel campo VPI/VCI o DLCI del frame L2."
"Il protocollo PPTP viene utilizzato di solito per:","Permettere di creare un tunnel in una VPN di accesso.","Permettere di creare un tunnel in una VPN site-to-site di tipo overlay.","Permettere di creare un tunnel in una VPN site-to-site di tipo peer.","Permettere di creare un tunnel in una VPN di livello 4.",A,"VPN client-to-site legacy (spesso sostituito da L2TP/IPsec)."
"Due reti IP 130.192.0.0/24 e 130.192.2.0/24 sono aggregabili in:","130.192.0.0/23","130.192.2.0/23","Non sono aggregabili","130.192.0.0/22",D,"(Duplicata)."
"In OSPF, un pacchetto di ""Link State Update"":","Viene utilizzato anche nella procedura di Exchange per lo scambio di tutti gli LSA...","Trasporta le informazioni principali relative ad un Link State Advertisement","E utilizzato per aggiornare lo stato dell'adiacenza...","Viene inviato per in condizioni di rete a regime...",A,"Trasporta gli LSA completi per sincronizzare i database."
"In OSPF, un pacchetto di ""Database Description"":","Viene utilizzato durante la fase di ""Neighbor Discovery""","Viene utilizzato durante la fase di riallineamento delle adiacenze","Viene sempre inviato cifrato...","Viene sempre inviato cifrato per problemi di privacy",B,"Usato nella fase di 'Exchange' per confrontare i contenuti dei LSDB tra router adiacenti."
"The Layer 3 VPN (virtual private network) solutions based on MPLS are characterized by","A good level of automation and integration between the public backbone and private networks","Particularly high security...","A mix of Layer 2 and Layer 3 tunnelling mechanisms","Layer 3 tunneling mechanisms, namely within IP packets",A,"Il provider gestisce il routing della VPN come parte della sua rete MPLS."
"Una differenza del protocollo di routing OSPF rispetto all'IGRP è che:","OSPF è gerarchico","OSPF consente di effettuare anche routing tra AS diversi","OSPF permette di trasportare contemporaneamente informazioni di routing relative a diverse architetture...","OSPF è proprietario",A,"OSPF supporta le Aree (gerarchia a 2 livelli); IGRP è piatto (flat) e proprietario Cisco."
"E' possibile l'instaurazione di un loop in una rete che utilizza un routing di tipo Link State?","Si","No, perché ogni router ha una visione completa della topologia della rete","No, perché gli aggiornamenti del Link State vengono inviati in flooding","No, perché viene usato un Hold-Down timer",A,"Sì, micro-loop temporanei possono verificarsi durante il transitorio di ricalcolo SPF se i router aggiornano le tabelle in tempi diversi."
"uno dei motivi che sta favorendo la diffusione di ipv6 è","scarsità indirizzi MAC","possibile inefficienza dell'indirizzamento ipv4 privato","necessità sempre più diffusa di utilizzare applicazioni multicast","scarsa attitudine degli operatori a modificare la configurazione delle proprie reti",B,"Problemi del NAT/CGNAT."
"The IPv6 Aggregatable Global Unicast addresses are","Aggregable only in very small address ranges...","Globally unique. substantially equivalent to the IPv4 public addresses","Usable only on devtces belonging to the same local area network","Usable in a global IPv6 network only With proper NAT techniques",B,"(Duplicata)."
"Un protocollo usato in MPLS per la distribuzione delle label è:","OSPF","IS-IS","RIP","BGP",D,"BGP è usato per distribuire label per servizi VPN e inter-AS MPLS."
"Lo schema di indirizzamento IPv6:","Prevede esclusivamente indirizzi assegnati in modo univoco da un ente preposto.","Prevede che ogni entità (es. azienda) si faccia assegnare globalmente un insieme di indirizzi...","Prevede che i primi 64 bit di un indirizzo siano normalmente identificati come il prefisso di rete, almeno sulle LAN.","Non prevede l'esistenza di indirizzi di multicast.",C,"Lo standard prevede subnet /64 per le LAN (SLAAC richiede /64)."
"In quale situazione è possibile che un pacchetto abbia due intestazioni IP?","Il pacchetto ha attraversato un firewall in ingresso.","Il pacchetto è nella rete pubblica, dopo aver attraversato in uscita un NAT.","Il pacchetto è nella rete pubblica, dopo aver attraversato in uscita un firewall.","Il pacchetto è nella rete pubblica in transito su un tunnel IP che collega due segmenti di una VPN basata su IP.",D,"Tunneling IP-in-IP (es. GRE, IPsec Tunnel Mode)."
"Relativamente a un Autonomous System, quali di queste affermazioni è falsa:","è una subnet configurata attraverso algoritmi di routing statico","vengono identificati attraverso un ID di 2 bytes (o 4 bytes)","è un insieme di subnets con un prossimità topologica e gestite da una singola organizzazione","si utilizzano gli Exterior Gateway Protocol per distribuire le informazioni fra Autonomous systems",A,"Un AS usa protocolli di routing dinamico (IGP interni e BGP esterno), non routing statico per definizione."
"Le reti ottiche sono caratterizzate... dall'uso di apparati in grado di:","Trasmettere segnali ottici...","Commutare un canale ottico da una porta di ingresso ad una porta di uscita","Instradare pacchetti...","Trasportare enormi quantità di dati...",B,"Optical Cross Connect (OXC) commutano lunghezze d'onda (lambda)."
"La modalità di funzionamento ""Tunnel mode"" di IPsec prevede che vanga criptato:","Solo il payload del pacchetto interno","L'intestazione IP, l'intestazione TCP/UDP e il payload del pacchetto interno","Esclusivamente l'intestazioneTCP/UDP e il payload","Tutto il pacchetto esterno, inclusa l'intestazione IP.",B,"Cifra tutto il pacchetto originale."
"OSPF-TE and ISIS-TE include enhancements... to","Include adeguate fields in routing messages to support explicit routing.","Allow the independence of control plane and data plane...","Enable the distribution of additional information (named constrained data) in support of constraint based routing.","Ensure faster convergence...",C,"(Duplicata)."
"L'indirizzo IPv6 FE80::0201:06FF:FEA5:3A4C è:","Un indirizzo utilizzabile da un host con MAC address 00:01:06:A5:3A:4C...","Un indirizzo utilizzabile da un server con MAC address...","Un indirizzo utilizzabile da più dispositivi nello stesso link","Un indirizzo al momento non previsto in IPv6",A,"Link-Local derivato da EUI-64 (MAC)."
"The basic ideal of MPLS (Multi-Protocol Label Switching) consists in","Inserting a label in IP packets so that network nodes can use it to determine the path...","Inserting a label layer two frames...","Association a label to each packet... destination can identify...","Associating a label to each packet so that network nodes can use it to determine how to process such packet",C,"(Nota: Soluzione file C, ma spesso A è più chiara. C è corretta nel senso che la label determina il forwarding/processamento)."
"per l'instaurazione di un LSB è indispensabile che","tutti i link sul percorso utilizzino lo stesso protocollo di livello due","i router mpls sul percorso utilizzino lo stesso protocollo per la distribuzione delle etichette","le destinazioni finali dei pacchetti che viaggiano sull'LSP supportino mpls","i router mpls sul percorso eseguano un' operazione di mapping",D,"(Duplicata della 10)."
"The Integrated IS-IS protocol","Is a protocol used by Ethernet switches...","Is a protocol based on the link state routing algorithm widely used in large networks","Is an obsolete routing protocol...","Is a protocol derived as an evolution of BGP...",B,"(Duplicata)."
"The Interface ID of an IPv6 address","Is the same for all devices within the same link","Can be arbitrarily selected, sometimes it is derived from the MAC address of the interface","Is assigned by the ISP...","Is assigned by the network administrator...",B,"I 64 bit finali possono essere EUI-64, random (Privacy), o manuali."
"due stazioni A e B hanno rispettivamente 130.192.1.1/25 e 130.192.1.100/24","comunica direttamente con B e viceversa","comunica direttamente con A ma non viceversa","comunica direttamente con B solo attraverso un router","comunica direttamente con b ma non viceversa",A,"[Nota: Soluzione file A, ma attenzione alle maschere. A è /25, B è /24. IP A=1.1, IP B=1.100. Entrambi sono nel range dell'altro? A(1-126), B(1-254). Sì, si vedono direttamente. In altre domande simili (1.1 e 1.129) non si vedevano]."
"An Autonomous System:","is identified by means of a 4 bytes long ID assigned by the CSA","is a set of subnets with a short topological proximity and managed by a single organization unit","is a subnet configured by leveraging the static routing","is identified by means of a 4 bytes long ID automatically computed by the BGP",B,"Definizione di AS."
"Due host collegati ad una rete switch ethernet attraverso porte configurate in modalità Access:","Non possono comunicare","Se appartengono a VLAN diverse, possono comunicare solo se collegati a switch diversi e il link tra gli switch è configurato in modalità trunk","possono comunicare solo se appartenenti alla stessa VLAN","Se appartengono a VLAN diverse, è possibile che riescano a comunicare anche se collegati a switch diversi e le porte degli switch sono configurate in modo access",D,"È possibile collegare fisicamente due porte access di VLAN diverse (VLAN mismatch), creando continuità L2 non voluta."
"Le soluzioni per la realizzazione di VPN (virtual private network) di livello 3 attraverso una dorsale MPLS sono caratterizzate da","Livelli particolarmente alti di sicurezza.","Elevata scalabilità","A differenza di tutte le altre soluzioni proposte, non richiedono l'utilizzo di funzionalità di NAT...","La fornitura di un servizio a qualità garantita al traffico che attraversa la VPN.",B,"MPLS VPN scala molto bene rispetto alle VPN full-mesh IPsec punto-punto."
"In MPLS, il protocollo per l'assegnazione delle Label è:","OSPF","RSVP-TE","IS-IS","L2TP",B,"(Duplicata)."
"Le reti ottiche si basano sull'utilizzo di","Collegamenti in fibra ottica tra commutatori di pacchetto ad elevate prestazioni","Router IP in grado di inoltrare i pacchetti in base al loro indirizzo destinazione realizzando il look up nella tabella di routing con tecniche ottiche.","Apparati in grado di commutare un segnale elettromagnetico ad una certa frequenza portante nel campo dell'ottica da una porta di ingresso ad una porta di uscita",N/A,C,"Commutazione di lunghezza d'onda (lambda switching) nel dominio ottico."
"fixing cell size G and DECREASING radius R","capacity increase","capacity decrease","capacity remains same",N/A,A,"Celle più piccole (R minore) -> più celle per area -> più riuso di frequenza -> capacità totale del sistema aumenta."
"The IPv6 address FE80::0201:06FF:FEA5:3A4C is:","An address currently not available in IPv6","An address that can be used on a host with MAC address 00:01:06:A5:3A:4C for communicating with another host on the same link","An address that can be used by more than one device on the same link","An address that can be used on a server... public Internet",B,"Indirizzo Link-Local EUI-64."
"With respect to previous solutions, The Long Term Evolution (LTE) technology is characterized, among the other things, by","The usage of switching technique based on virtual circuits","The usage of a circuit switching technique","The usage of mobile terminals that are able to use the IP protocol for sending data","The usage of an ""all-IP"" network architecture with shared communication channels",D,"LTE è una rete interamente a pacchetto (All-IP), anche per la voce (VoLTE)."
"tabella di filtering di una VLAN:","Si può aggiornare solo manualmente","Si può aggiornare manualmente o automaticamente con appositi protocolli","Contiene solo IP della rete locale",N/A,B,"(Duplicata)."
